Latitude,Longitude,CreatedDate
13.6844225,100.7436523,2026-04-22 07:00:00.0412456 +07:00
13.6844225,100.7436523,2026-04-22 07:00:05.0383340 +07:00
13.6844225,100.7436523,2026-04-22 07:00:10.0425937 +07:00
13.6844225,100.7436523,2026-04-22 07:00:15.0342945 +07:00
13.6844225,100.7436523,2026-04-22 07:00:20.0456104 +07:00
13.6844244,100.7436523,2026-04-22 07:00:25.0346966 +07:00
13.6844273,100.7436523,2026-04-22 07:00:30.0257454 +07:00
13.6844292,100.7436600,2026-04-22 07:00:35.0347248 +07:00
13.6844301,100.7436600,2026-04-22 07:00:40.0372781 +07:00
13.6844320,100.7436523,2026-04-22 07:00:45.0380623 +07:00
13.6844320,100.7436523,2026-04-22 07:00:50.0540852 +07:00
13.6844349,100.7436523,2026-04-22 07:00:55.0387622 +07:00
13.6844339,100.7436523,2026-04-22 07:01:00.0680952 +07:00
13.6844339,100.7436523,2026-04-22 07:01:05.0281868 +07:00
13.6844320,100.7436523,2026-04-22 07:01:10.0360298 +07:00
13.6844320,100.7436523,2026-04-22 07:01:15.0274278 +07:00
13.6844320,100.7436523,2026-04-22 07:01:20.0281076 +07:00
13.6844320,100.7436523,2026-04-22 07:01:25.0377488 +07:00
13.6844320,100.7436523,2026-04-22 07:01:30.0278613 +07:00
13.6844339,100.7436523,2026-04-22 07:01:35.0536834 +07:00
13.6844339,100.7436523,2026-04-22 07:01:40.0282579 +07:00
13.6844339,100.7436523,2026-04-22 07:01:45.0376053 +07:00
13.6844339,100.7436523,2026-04-22 07:01:50.0464349 +07:00
13.6844320,100.7436523,2026-04-22 07:01:55.0396669 +07:00
13.6844320,100.7436523,2026-04-22 07:02:00.0274989 +07:00
13.6844320,100.7436447,2026-04-22 07:02:10.0376099 +07:00
13.6844339,100.7436447,2026-04-22 07:02:15.0496858 +07:00
13.6844349,100.7436447,2026-04-22 07:02:20.0472039 +07:00
13.6844349,100.7436447,2026-04-22 07:02:25.0551663 +07:00
13.6844349,100.7436447,2026-04-22 07:02:30.0284970 +07:00
13.6844368,100.7436447,2026-04-22 07:02:35.0592154 +07:00
13.6844368,100.7436447,2026-04-22 07:02:40.0360827 +07:00
13.6844368,100.7436447,2026-04-22 07:02:45.0430415 +07:00
13.6844368,100.7436447,2026-04-22 07:02:50.0276089 +07:00
13.6844349,100.7436447,2026-04-22 07:02:55.0421455 +07:00
13.6844349,100.7436447,2026-04-22 07:03:00.0364368 +07:00
13.6844320,100.7436447,2026-04-22 07:03:05.0391446 +07:00
13.6844320,100.7436447,2026-04-22 07:03:10.0320604 +07:00
13.6844301,100.7436523,2026-04-22 07:03:15.0393741 +07:00
13.6844301,100.7436523,2026-04-22 07:03:20.0294167 +07:00
